Atlantic Reporter	A.
Canada Law Reports (Exchequer Court)	Ex.C.R.
Law Reports Exchequer Division	Ex.D.
Express	EXP
Express Travail	EXPT
Federal Reporter	F.
University of Toronto Faculty of Law Review	Fac. L. Rev. U. of T.
Law Reports Family	Fam.
Family Law Quarterly	Family L.Q.
Family Law	Fam.Law
Family Law Review	Fam.L.Rev.
Canada Federal Court Reports	F.C.
Federal Court of Appeal Decision	F.C.A.D.
Federal Communications Commission Record	F.C.C.
Federal Courts Reports	F.C.R.
Federal Court Judgments	F.C.J.
Federal Reporter	Fed.
Federal Communications Law Journal	Fed. Comm. L.J.
Federal Register	Fed. Reg.
Fortnightly Law Journal	F.L.J.
Fordham Law Review	Fordham L. Rev.
Fordham Law Review	Ford. L Rev.
Forum constitutionnel	Forum constit.
Fox's Patent, Trade Marks, Design and Copyright Cases	Fox Pat.C.
Formation permanente du barreau	F.P. du B.
Cours de la formation professionnelle du barreau du Québec	F.P.du B.
Federal Register	F.R.
Franchise Law Journal	Franchise L.J.
Federal Rules Decisions	F.R.D.
Federal Supplement	F.Supp.
Federal Trial Reports	F.T.R.
La Gazette du Canada	Gaz. C.
Gazette du Canada	Gaz.Can.
Law Society of Upper Canada Gazette	Gazette
Gazette du Manitoba	Gaz.M.
La Gazette Royale	Gaz.N.B.
